team_name,year,win_times,sum_score,sum_rebs,sum_assit
PHI,1993,28,8472,3531,1972
PHI,1994,25,8139,3357,1762
PHI,1995,19,7705,3300,1570
PHI,1996,21,7846,3392,1665
PHI,1997,21,8107,3526,1712
PHI,1998,24,5084,2269,1144
PHI,1999,45,7392,3572,1583
PHI,2000,53,7591,3471,1725
PHI,2001,47,7647,3757,1717
PHI,2002,50,7751,3589,1711
PHI,2003,43,7868,3391,1771
PHI,2004,32,7116,3275,1545
PHI,2005,45,8476,3502,1763
PHI,2006,31,7894,3206,1631
PHI,2007,41,7844,3410,1702
PHI,2008,39,7971,3488,1677
PHI,2009,37,8171,3325,1663
PHI,2010,31,8083,3452,1792
PHI,2011,30,5345,2220,1239
PHI,2012,47,8656,3950,2031
PHI,2013,29,7832,3462,1891
PHI,2014,14,7793,3406,1692
PHI,2015,17,7970,3685,1735
PHI,2016,7,4842,1953,1120
PHO,1985,10,3179,1309,801
PHO,1986,35,9164,3485,2321
PHO,1987,33,8495,3254,2185
PHO,1988,34,9340,3619,2370
PHO,1989,51,9393,3676,2190
PHO,1990,60,9844,3765,2226
PHO,1991,56,9303,3823,2220
PHO,1992,55,8866,3438,2064
PHO,1993,62,9322,3633,2162
PHO,1994,56,9121,3730,2336
PHO,1995,51,8794,3441,2084
PHO,1996,38,8545,3519,2023
PHO,1997,48,8319,3278,2061
PHO,1998,38,5438,2274,1446
PHO,1999,45,7714,3299,1984
PHO,2000,53,7801,3488,2005
PHO,2001,51,8158,3646,1971
PHO,2002,37,7544,3536,1777
PHO,2003,37,8032,3396,1715
PHO,2004,42,7862,3310,1608
PHO,2005,56,8893,3634,2027
PHO,2006,56,9118,3338,2181
PHO,2007,62,9204,3411,2223
PHO,2008,51,8727,3345,1944
PHO,2009,49,9513,3575,2049
PHO,2010,47,8726,3362,1862
PHO,2011,27,5651,2259,1306
PHO,2012,43,9251,3861,2114
PHO,2013,33,7800,3437,1720
PHO,2014,47,9139,3657,1697
PHO,2015,33,8375,3621,1674
PHO,2016,11,4672,2165,981
POR,1985,20,4000,1509,871
POR,1986,39,9082,3319,2168
POR,1987,47,9169,3454,2307
POR,1988,52,9428,3760,2217
POR,1989,42,9550,3889,2218
POR,1990,67,9813,4012,2267
POR,1991,55,8946,3657,2056
POR,1992,55,8677,3600,1950
POR,1993,51,9109,3901,2078
POR,1994,43,8517,3677,1954
POR,1995,43,8760,3901,1915
POR,1996,48,8204,3800,1740
POR,1997,51,7747,3465,1642
POR,1998,28,5058,2323,1197
POR,1999,57,7541,3497,1782
POR,2000,58,8166,3546,1939
POR,2001,42,7562,3319,1901
POR,2002,54,7983,3588,1946
POR,2003,47,7744,3397,1850
POR,2004,39,7179,3300,1630
POR,2005,24,7711,3365,1688
POR,2006,24,7630,3144,1523
POR,2007,37,7807,3251,1656
POR,2008,43,8012,3436,1717
POR,2009,55,8267,3512,1687
POR,2010,46,7894,3215,1693
POR,2011,34,5085,2039,1107
POR,2012,40,8907,3737,1870
POR,2013,43,8648,3622,1964
POR,2014,55,8720,3882,1893
POR,2015,39,8539,3826,1766
POR,2016,30,5081,2121,1022
SAC,1985,9,3340,1298,804
SAC,1986,36,8601,3472,2203
SAC,1987,28,9165,3734,2240
SAC,1988,23,8282,3499,1922
SAC,1989,28,8915,3621,2044
SAC,1990,22,8144,3325,2056
SAC,1991,27,8167,3277,1970
SAC,1992,31,8511,3375,1958
SAC,1993,23,8818,3414,2133
SAC,1994,35,8209,3473,1990
SAC,1995,41,8031,3403,1745
SAC,1996,35,8415,3644,1907
SAC,1997,32,7888,3374,1840
SAC,1998,16,4759,2133,1154
SAC,1999,44,7857,3542,1781
SAC,2000,47,8529,3677,1936
SAC,2001,58,8823,3915,1952
SAC,2002,61,8514,3621,1988
SAC,2003,57,8176,3493,2042
SAC,2004,52,8170,3310,2067
SAC,2005,44,8637,3453,2003
SAC,2006,45,8026,3358,1706
SAC,2007,31,8320,3166,1612
SAC,2008,35,8649,3412,1688
SAC,2009,23,8406,3268,1628
SAC,2010,17,7720,3422,1578
SAC,2011,19,5775,2525,1188
SAC,2012,32,9053,3870,1811
SAC,2013,27,8328,3381,1732
SAC,2014,31,8490,3807,1561
SAC,2015,28,8381,3608,1808
SAC,2016,21,5407,2212,1234
SAS,1985,19,3522,1374,907
SAS,1986,24,8713,3373,2128
SAS,1987,33,8655,3538,2175
SAS,1988,25,9327,3484,2300
SAS,1989,33,8506,3457,1992
SAS,1990,56,8738,3720,2076
SAS,1991,52,8963,3921,2193
SAS,1992,45,8353,3592,1949
SAS,1993,53,8648,3647,1983
SAS,1994,52,8108,3522,1806
SAS,1995,66,8883,3771,2006
SAS,1996,47,8071,3388,1959
SAS,1997,31,7727,3499,1763
SAS,1998,38,4856,2341,1181
SAS,1999,58,7603,3605,1785
SAS,2000,51,7737,3500,1746
SAS,2001,60,7904,3526,1741
SAS,2002,56,8054,3650,1659
SAS,2003,63,7798,3576,1724
SAS,2004,60,7621,3547,1717
SAS,2005,58,7865,3451,1688
SAS,2006,62,7955,3348,1799
SAS,2007,56,7837,3297,1749
SAS,2008,55,7955,3420,1738
SAS,2009,53,8027,3389,1753
SAS,2010,59,8622,3597,1896
SAS,2011,36,5518,2240,1167
SAS,2012,72,9925,4048,2281
SAS,2013,58,8297,3383,2011
SAS,2014,57,8780,3668,2092
SAS,2015,63,8457,3633,2031
SAS,2016,39,5021,2046,1157
TOR,1995,9,2938,1189,726
TOR,1996,22,7707,3309,1748
TOR,1997,24,7943,3349,1814
TOR,1998,12,5016,2162,1099
TOR,1999,40,7405,3480,1728
TOR,2000,43,7954,3588,1967
TOR,2001,48,7949,3598,1954
TOR,2002,34,7484,3391,1659
TOR,2003,32,7266,3316,1655
TOR,2004,27,7440,3319,1584
TOR,2005,31,8047,3166,1634
TOR,2006,32,8422,3248,1644
TOR,2007,51,8242,3332,1895
TOR,2008,36,8209,3213,1947
TOR,2009,37,8442,3399,1824
TOR,2010,35,8345,3291,1783
TOR,2011,12,5171,2109,1197
TOR,2012,33,8709,3888,1978
TOR,2013,37,7849,3312,1638
TOR,2014,58,8889,3564,1860
TOR,2015,45,8361,3536,1631
TOR,2016,36,5128,2097,939
UTA,1985,17,3619,1397,874
UTA,1986,44,8380,3467,2099
